"Ean","Quofi","Quofi-Titel","_type"
"8714186119709","19.34","Intersteel beldrukker - smal - recht - 76x25 mm - messing getrommeld","dict"
"8714186119570","64.55","Intersteel briefplaat rechthoekig - met klep/regenrand - 325x77 mm - messing getrommeld","dict"
"8714186119563","75.95","Intersteel briefplaat - ovaal met veer - 343x77 mm - messing getrommeld","dict"
"8714186119556","83.56","Intersteel tochtwering - ovaal - 342x78 mm - messing getrommeld","dict"
"8714186128640","71.20","Intersteel tochtwering - rechthoekig - 325x75 mm - messing getrommeld","dict"
"8714186119600","18.96","Intersteel huisnummer - Nr. 0 - 120mm - messing getrommeld","dict"
"8714186119617","18.96","Intersteel huisnummer - Nr. 1 - 120mm - messing getrommeld","dict"
"8714186119624","18.96","Intersteel huisnummer - Nr. 2 - 120mm - messing getrommeld","dict"
"8714186119631","18.96","Intersteel huisnummer - Nr. 3 - 120mm - messing getrommeld","dict"
"8714186119648","18.96","Intersteel huisnummer - Nr. 4 - 120mm - messing getrommeld","dict"
"8714186119655","18.96","Intersteel huisnummer - Nr. 5 - 120mm - messing getrommeld","dict"
"8714186119662","18.96","Intersteel huisnummer - Nr. 6 - 120mm - messing getrommeld","dict"
"8714186119679","18.96","Intersteel huisnummer - Nr. 7 - 120mm - messing getrommeld","dict"
"8714186119686","18.96","Intersteel huisnummer - Nr. 8 - 120mm - messing getrommeld","dict"
"8714186119693","14.77","Intersteel huisnummer - Nr. 9 - 120mm - messing getrommeld","dict"
"8714186119426","41.75","Intersteel raamuitzetter met stelpen - Dudok - messing getrommeld","dict"
"8714186121825","4.73","Intersteel stelpen - messing getrommeld","dict"
"8714186119716","41.75","Intersteel raamkruk - L-model - messing getrommeld","dict"
"8714186119723","45.18","Intersteel raamkruk - T-model - messing getrommeld","dict"
"8714186130704","128.25","Intersteel afsluitbare raamsluiting - Ton 400 - SKG* - rechts - messing getrommeld/ebbenhout","dict"
"8714186130889","128.25","Intersteel afsluitbare raamsluiting - Ton 400 - SKG* - links - messing getrommeld/ebbenhout","dict"
"8714186090992","32.26","Intersteel deurkruk met rozet - Cosmos - messing gelakt","dict"
"8714186070239","46.50","Intersteel deurkruk met schild - Yvonne - blind - messing gelakt","dict"
"8714186055991","33.64","Intersteel deurkruk met rozet - Jupiter - rond - messing gelakt","dict"
"8714186070246","46.50","Intersteel deurkruk met schild - Yvonne - met sleutelgat - 56 mm - messing gelakt","dict"
"8714186070253","46.50","Intersteel deurkruk met schild - Yvonne - met profielcilindergat - 55 mm - messing gelakt","dict"
"8714186070260","46.50","Intersteel deurkruk met schild - Yvonne - met profielcilindergat - 72 mm - messing gelakt","dict"
"8714186070277","62.65","Intersteel deurkruk met schild - Yvonne - WC63/8 - ovaal - messing gelakt","dict"
"8714186090589","34.15","Intersteel deurkruk met rozet - Saturnus - messing gelakt","dict"
"8714186043400","47.46","Intersteel deurkruk met schild - Saturnus - blind - messing gelakt","dict"
"8714186043417","47.46","Intersteel deurkruk met schild - Saturnus - met sleutelgat - 56 mm - messing gelakt","dict"
"8714186043424","47.46","Intersteel deurkruk met schild - Saturnus - met profielcilindergat 55 mm - messing gelakt","dict"
"8714186045305","47.46","Intersteel deurkruk met schild - Saturnus - met profielcilindergat 72 mm - messing gelakt","dict"
"8714186043431","62.65","Intersteel deurkruk met schild - Saturnus - 240x40 mm - WC63/8 - messing gelakt","dict"
"8714186068243","51.26","Intersteel deurkruk met rozet - Sigaar - messing gelakt","dict"
"8714186289983","75.95","Intersteel deurkruk met rozet - Vlinder - rond - messing gelakt","dict"
"8714186341032","45.07","Intersteel deurkruk op schild - Emily - blind - messing gelakt","dict"
"8714186445198","45.07","Intersteel deurkruk op schild - Emily - SL 56 - messing gelakt","dict"
"8714186272305","45.07","Intersteel deurkruk op schild - Emily - SL 72 - messing gelakt","dict"
"8714186445204","45.07","Intersteel deurkruk op schild - Emily - PC 55 - messing gelakt","dict"
"8714186272312","45.07","Intersteel deurkruk op schild - Emily - PC 72 - messing gelakt","dict"
"8714186514122","49.83","Intersteel deurkruk op schild - Emily - WC 63/8 - messing gelakt","dict"
"8714186392683","39.86","Intersteel deurkruk met rozet - Emily - messing gelakt","dict"
"8714186028940","14.21","Intersteel rozet met sleutelgat - rond - verdekt - messing gelakt","dict"
"8714186028988","14.21","Intersteel rozet met profielcilindergat - rond - verdekt - messing gelakt","dict"
"8714186009635","42.70","Intersteel toilet-/badkamersluiting met rond rozet - Ø 52 mm - messing gelakt","dict"
"8714186006474","5.31","Intersteel sleutelplaat - rond-opschroevend - messing","dict"
"8714186006429","5.31","Intersteel rozet met profielcilindergat - schroefgat - messing gelakt","dict"
"8714186009628","25.60","Intersteel toilet-/badkamersluiting met rond rozet - Ø 52 mm - opschroef - messing","dict"
"8714186028995","8.17","Intersteel rozet met profielcilindergat - rond - verdekt - kunststof - messing gelakt","dict"
"8714186028957","8.17","Intersteel rozet met sleutelgat - rond - verdekt - messing gelakt","dict"
