"Enable category ID and product ID being added to the response header for specific flush actions.","Het toevoegen van categorie- en product-ID aan de reponse header voor specifieke flush acties."
"Header value separator","Header waarde scheidingsteken"
"The header separator character for Varnish which MageBoost uses to wrap category and product IDs in.","Het header scheidingsteken voor Varnish wat MageBoost gebruikt de category- en product-ID's mee in te pakken."
"Enable logging of cache purges","Cache purge logging inschakelen"
"Keep a log of cache purges for debugging purposes (not recommended for production environments).","Hou een logbestand bij van alle cache flushes (niet aan te raden voor productie omgevingen)."
"Pagination page URL pattern","Paginatie pagina URL patroon"
"The pattern of URLs being created for pagination following the category url.","Het patroon van de gegenereerde URL's voor de paginatie achter de categorie url."
"Pagination 'show all' URL pattern","Paginatie 'toon alles' URL patroon"
"The pattern of URLs being created for the 'show all' option following the category url.","Het patroon van de 'toon alles' optie die na de categorie url komt."
"Limit pagination precaching","Limiteer paginatie precaching"
"Limit the number of pages in pagination being precached.","Limiteer het aantal pagina's die mogen worden geprecached."
"Pagination precache limit","Pagination precache limiet"
"If the pagination precache limit is enabled, you can specify the number of pages in pagination being precached here.","Als de paginatie precache limiet is inschakeld kun je hier het aantal geprecachde pagina's van de paginatie opgeven."
"Cache the crawlmap","Cache de crawlmap"
"If enabled, the crawlmap will be cached.","Wanneer ingeschakeld zal de crawlmap worden gecached."
"Crawlmap Cache TTL","Crawlmap Cache TTL"
"Time-To-Live of the crawlmap cache in hours. After this the crawlmap will be refreshed.","Maximale leeftijd van de crawlmap cache in uren. Hierna zal de crawlmap worden ververst."
"Use database precaching log","Use database precaching log"
"Keep a database log of cache purges for precaching purposes.","Keep a database log of cache purges for precaching purposes."
"Please note: Varnish caching is disabled.","Let op: Varnish caching staat uitgeschakeld."
"Please note: MageBoost is disabled.","Let op: MageBoost staat uitgeschakeld."
"Please note: Full Varnish purging is disabled.","Let op: Volledige Varnish purging is uitgeschakeld."
