"Google page speed optimizer", "Google page speed optimizer"
"Make your store much more Google and user-friendly by optimizing your code structure with Magento Speed Optimization extension. See more details <a href=\"https://amasty.com/magento-google-page-speed-optimizer.html?utm_source=extension&utm_medium=backend&utm_campaign=from_fpcm1_to_google_index_optimisation_m1\" target=\"_blank\">here.</a>", "Make your store much more Google and user-friendly by optimizing your code structure with Magento Speed Optimization extension. See more details <a href=\"https://amasty.com/magento-google-page-speed-optimizer.html?utm_source=extension&utm_medium=backend&utm_campaign=from_fpcm1_to_google_index_optimisation_m1\" target=\"_blank\">here.</a>"
"Specify Google Page Speed Optimizer settings properly See more details <a href=\"%1$s\" target=\"_blank\">here.</a>", "Specify Google Page Speed Optimizer settings properly See more details <a href=\"%1$s\" target=\"_blank\">here.</a>"
